#ID,TPM,SEBE_PEDROS_CELLS,TOP_HSAP_BLAST,TOPHIT_DESCRIPTION,BLAST_E-VALUE
ML26358a,18437.31,ACTB,actin, cytoplasmic 1 [Homo sapiens],0.0
ML276923a,16876.78,
ML00807a,11891.48,HEBP2,heme-binding protein 2 isoform 2 [Homo sapiens],3.11e-11
ML10942a,11481.04,TUBA1C,tubulin alpha-1C chain isoform c [Homo sapiens],0.0
ML20395a,10278.49,EEF1A2,elongation factor 1-alpha 2 [Homo sapiens],0.0
ML055112a,10212.45,
ML463530a,10148.74,RPL37A,60S ribosomal protein L37a [Homo sapiens],3.83e-46
ML013518a,8944.42,RPL37,60S ribosomal protein L37 [Homo sapiens],1.96e-35
ML00977a,8904.91,RPL9,60S ribosomal protein L9 [Homo sapiens],2.23e-71
ML35651a,8837.24,ACTG1,actin, cytoplasmic 2 [Homo sapiens],0.0
ML21632a,8715.89,
ML02402a,8636.13,RPL35,60S ribosomal protein L35 [Homo sapiens],2.18e-48
ML078933a,8491.11,
ML01737a,8433.42,RPLP0,60S acidic ribosomal protein P0 [Homo sapiens],7.74e-131
ML08063a,8422.32,RPL35A,60S ribosomal protein L35a [Homo sapiens],7.25e-41
ML43437a,8338.07,RPS28,40S ribosomal protein S28 [Homo sapiens],5.46e-35
ML22151a,8057.07,
ML077224a,7997.35,TPM3,tropomyosin alpha-3 chain isoform Tpm3.12st [Homo sapiens],1.24e-18
ML101010a,7603.37,
ML14587a,7581.76,RPS27L,40S ribosomal protein S27-like [Homo sapiens],9.43e-44
ML21094a,7051.53,RPL34,60S ribosomal protein L34 [Homo sapiens],2.28e-40
ML001917a,6989.92,RPS21,40S ribosomal protein S21 [Homo sapiens],4.62e-27
ML29622a,6856.39,RPL30,60S ribosomal protein L30 [Homo sapiens],3.41e-62
ML009129a,6646.66,RPL26,60S ribosomal protein L26 [Homo sapiens],1.77e-65
ML148532a,6603.68,RPS27A,ubiquitin-40S ribosomal protein S27a precursor [Homo sapiens],1.26e-82
ML22072a,6515.15,RPS17,40S ribosomal protein S17 [Homo sapiens],4.46e-66
ML001918a,6470.18,RPL27,60S ribosomal protein L27 [Homo sapiens],9.04e-62
ML165814a,6401.35,RPL18A,60S ribosomal protein L18a [Homo sapiens],6.15e-76
ML012410a,6340.60,RPL29,60S ribosomal protein L29 [Homo sapiens],2.87e-16
ML00501a,6188.74,TAGLN3,transgelin-3 [Homo sapiens],2.24e-49
ML03977a,6089.77,MYL12B,myosin regulatory light chain 12B [Homo sapiens],1.51e-54
ML053619a,6084.40,RPLP2,60S acidic ribosomal protein P2 [Homo sapiens],2.06e-25
ML04142a,5944.86,RPS10,40S ribosomal protein S10 [Homo sapiens],6.33e-49
